	featureCounts on dataset 88 and 98: Counts	featureCounts on dataset 89 and 98: Counts	featureCounts on dataset 90 and 98: Counts	Mutant	Mutant2	Mutant3
gene-BTH_RS33305	8.75433316418233	5.44484560998806	6.75062465721385	2.01477267912548	5.35511384057199	4.81995822352572
MSTRG.1012.1	1.09429164552279	1.08896912199761	0.96437495103055	0	0	2.89197493411543
gene-BTH_RS07105	0	0	0	0	0	0
gene-BTH_RS07110	0	0	0	0	0	0
gene-BTH_RS07115	0	0	0	0	0	0
gene-BTH_RS07120	0	0	0	0	0	0
gene-BTH_RS07125	0	0	0	0	0	0
gene-BTH_RS07130	18.6029579738875	8.71175297598089	18.3231240695804	15.1107950934411	9.81770870771531	15.4238663152823
gene-BTH_RS07135	0	0	0	0	0	0
gene-BTH_RS07140	5.47145822761396	1.08896912199761	4.82187475515275	3.02215901868822	1.78503794685733	2.89197493411543
MSTRG.1015.1	20.791541264933	15.2455677079666	15.4299992164888	19.1403404516921	12.4952656280013	18.3158412493977
gene-BTH_RS07145	0	0	0	0	0	0
gene-BTH_RS07150	13.1314997462735	9.80072209797851	4.82187475515275	19.1403404516921	9.81770870771531	6.747941512936
gene-BTH_RS07155	0	0	0	0	0	0
gene-BTH_RS07160	221.046912395604	202.548256691556	206.376239520538	217.595449345552	142.803035748586	204.36622867749
gene-BTH_RS07165	71.1289569589814	60.9822708318663	63.6487467680163	79.5835208254564	56.2286953260059	81.9392897999372
gene-BTH_RS07170	239.649870369491	239.573206839475	208.304989422599	176.292609423479	207.956920808879	213.042153479837
gene-BTH_RS07175	450.84815795539	376.783316211174	366.462481391609	275.016470700628	285.606071497173	314.261276173877
gene-BTH_RS35580	304.213077455336	338.669396941257	289.312485309165	192.410790856483	190.106541340306	260.277744070389
gene-BTH_RS07180	55.8088739216624	33.758042781926	36.6462481391609	29.2142038473194	40.1633538042899	46.2715989458469
MSTRG.1022.1	3.28287493656837	0	2.89312485309165	0	4.46259486714332	0
gene-BTH_RS07185	0	0	0	0	0	0
gene-BTH_RS07190	0	0	0	0	0	0
gene-BTH_RS07195	0	0	0	0	0	0
gene-BTH_RS07200	0	0	0	0	0	0
gene-BTH_RS07205	67.8460820224131	72.96093117384	70.3993714252301	56.4136350155134	55.3361763525772	72.2993733528857
gene-BTH_RS07210	217.764037459036	223.23867000951	240.129362806607	209.53635862905	179.396313659162	205.330220322195
gene-BTH_RS30100	19.6972496194102	23.9573206839475	16.3943741675193	12.0886360747529	10.710227681144	2.89197493411543
gene-BTH_RS07215	83.1661650597322	70.7829929298448	58.8268720128635	73.53920278808	55.3361763525772	59.7674819717189
gene-BTH_RS07220	1219.04089311239	1814.22255724802	1596.04054395556	1033.57838439137	951.425225674957	1006.40727707217
gene-BTH_RS07225	19.6972496194102	27.2242280499403	31.8243733840081	25.1846584890685	24.9905312560026	34.7036992093851
gene-BTH_RS07230	152.106538727668	176.412997763613	168.765616430346	149.093178255285	141.910516775158	133.03084696931
gene-BTH_RS07235	1147.91193615341	1208.75572541735	1154.35681638357	1196.77497140053	1096.0132993704	1046.89492614979
gene-BTH_RS07240	117.089206070939	101.274128345778	105.11686966233	67.4948847507036	81.2192265820085	96.3991644705143
gene-BTH_RS07245	24.0744162015014	18.5124750739594	27.9668735798859	10.0738633956274	14.2803035748586	16.3878579599874
gene-BTH_RS07250	0	0	0	0	0	0
gene-BTH_RS07255	183.840996447829	204.726194935551	178.409365940652	200.469881572985	161.545934190588	168.6985378234
gene-BTH_RS07260	227.612662268741	280.954033475384	280.63311074989	239.757948815932	306.134007886032	267.025685583325
gene-BTH_RS07265	259.347119988902	302.733415915336	317.279358889051	235.728403457681	233.83997103831	210.150178545721
gene-BTH_RS07270	112.712039488848	95.8292827357898	94.5087452009939	63.4653393924526	48.1960245651479	68.4434067740652
gene-BTH_RS07275	0	0	0	0	0	0
MSTRG.1036.3	0	0	0	0	0	0
gene-BTH_RS07280	0	0	0	0	0	0
gene-BTH_RS34335	55.8088739216624	58.804332587871	73.2924962783218	27.199431168194	28.5606071497173	40.487649077616
gene-BTH_RS30120	41.5830825298661	42.4697957579069	54.9693722087413	29.2142038473194	41.9483917511472	28.9197493411543
gene-BTH_RS07285	269.195744798607	217.793824399522	257.488111925157	407.99146752291	333.802096062321	315.225267818582
gene-BTH_RS34340	37.2059159477749	51.1815487338878	52.0762473556497	42.3102262616351	48.1960245651479	62.6594569058343
gene-BTH_RS07290	357.833368085953	228.683515619499	243.022487659699	284.082947756693	219.559667463452	252.565810912747
gene-BTH_RS07295	77.6947068321182	67.5160855638519	51.1118724046191	65.4801120715781	37.4857968840039	43.3796240117314
gene-BTH_RS07300	65.6574987313675	41.3808266359093	39.5393729922525	36.2659082242586	34.8082399637179	32.7757159199749
gene-BTH_RS07305	89.7319149328689	76.2278385398328	109.938744417483	132.974996822282	95.4995301568671	113.751014075207
gene-BTH_RS07310	328.287493656837	222.149700887513	224.699363590118	130.960224143156	115.134947572298	130.138872035194
gene-BTH_RS07315	37.2059159477749	29.4021662939355	36.6462481391609	16.1181814330038	18.742898442002	21.2078161835131
gene-BTH_RS07320	8.75433316418233	7.62278385398328	5.7862497061833	11.0812497351901	12.4952656280013	11.5678997364617
gene-BTH_RS07325	47.05454075748	16.3345368299642	39.5393729922525	26.1920448286312	61.5838091665779	49.1635738799623
gene-BTH_RS07330	103.957706324665	72.96093117384	96.437495103055	73.53920278808	115.134947572298	89.6512229575783
gene-BTH_RS07335	512.128490104666	517.260332948866	483.151850466305	465.412488877986	468.572461050049	445.364139853776
MSTRG.1051.1	3.28287493656837	1.08896912199761	4.82187475515275	1.00738633956274	7.14015178742932	0.963991644705143
gene-BTH_RS07340	0	0	0	0	0	0
gene-BTH_RS07345	0	0	0	0	0	0.963991644705143
gene-BTH_RS34345	0	0	0	0	0	0
gene-BTH_RS07355	0	0	0	0	0	0
gene-BTH_RS07360	0	0	0	0	0	0
gene-BTH_RS07365	0	0	0	0	0	0
gene-BTH_RS07370	0	0	0	0	0	0
gene-BTH_RS34995	0	0	0	0	0	0
gene-BTH_RS07375	119.277789361984	106.718973955766	143.691867703552	91.6721569002093	84.7893024757232	103.14710598345
gene-BTH_RS07380	50.3374156940484	47.9146413678949	49.183122502558	43.3176126011978	52.6586194322912	49.1635738799623
gene-BTH_RS07385	25.1687078470242	11.9786603419737	38.574998041222	19.1403404516921	20.5279363888593	21.2078161835131
gene-BTH_RS07390	75.5061235410726	71.8719620518424	85.8293706417189	53.3914759968252	74.9715937680078	70.3713900634754
gene-BTH_RS07395	52.525998985094	53.359486977883	67.5062465721385	49.3619306385742	45.5184676448619	67.47941512936
