GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
gene-J2S48_RS20405,96.36993184,1.135651706,0.470718814,2.412590428,0.015839608,0.039442394
gene-J2S48_RS18115,61.82746961,1.513545169,0.629160973,2.405656477,0.016143437,0.040135173
gene-J2S48_RS14675,69.02828087,1.251119308,0.521080709,2.401008684,0.016349948,0.040533524
gene-J2S48_RS05405,32.97548813,-1.791395228,0.747127428,-2.397710431,0.016497902,0.040871393
gene-J2S48_RS09820,85.35622261,-1.621412837,0.678766412,-2.388764097,0.016905153,0.041821152
gene-J2S48_RS19480,69.0438426,-1.562238558,0.654698118,-2.386196807,0.017023638,0.042084548
gene-J2S48_RS25665,151.1109612,-1.09794454,0.460256935,-2.385503522,0.017055759,0.04213422
gene-J2S48_RS07415,397.8755386,-1.100744908,0.46271665,-2.378874646,0.01736558,0.042839174
gene-J2S48_RS00215,208.548262,1.022497033,0.430757865,2.373716454,0.017610068,0.043381201
gene-J2S48_RS17875,17.32954536,2.546548178,1.074548962,2.369876355,0.017794035,0.043803587
MSTRG.3131.1,4.569183441,-2.955243879,1.247763062,-2.368433534,0.01786359,0.043943929
gene-J2S48_RS23320,538.8464194,-1.187825818,0.50187798,-2.366762172,0.01794446,0.04411189
gene-J2S48_RS02505,15.07333833,2.608313241,1.102381495,2.366071323,0.017977981,0.0441633
MSTRG.244.1,66.64829038,-1.210815848,0.512489729,-2.362614855,0.018146517,0.044546076
gene-J2S48_RS00850,4854.592071,-1.217393239,0.515492109,-2.361613724,0.01819559,0.044635261
gene-J2S48_RS18410,12.28048548,2.286297149,0.968884502,2.359721045,0.018288682,0.044800875
gene-J2S48_RS11730,11.50986463,-2.463061478,1.04391919,-2.35943692,0.018302692,0.044803865
gene-J2S48_RS07875,132.2419218,1.025783794,0.4348581,2.358893153,0.018329532,0.044838235
MSTRG.67.1,130.2868252,-1.207492984,0.513443754,-2.351753187,0.018685169,0.045662859
gene-J2S48_RS08925,26.68159126,1.984603864,0.844480803,2.350087601,0.018768993,0.045817271
gene-J2S48_RS17470,276.0143655,1.275166266,0.544670167,2.34117149,0.019223335,0.046893693
gene-J2S48_RS20955,648.951005,1.19217535,0.509644099,2.339231149,0.019323474,0.047072412
gene-J2S48_RS01505,51.87325209,1.451582862,0.621192957,2.336766452,0.019451331,0.047350947
gene-J2S48_RS26300,123.120793,1.430102964,0.613171812,2.332303827,0.019684713,0.047885799
gene-J2S48_RS05425,394.3767232,1.035539823,0.444784489,2.32818331,0.019902372,0.048294622
gene-J2S48_RS02070,51.79440492,1.288436166,0.553683606,2.327026035,0.01996388,0.048396865
gene-J2S48_RS06535,43.70557185,1.665661177,0.719147031,2.31616221,0.020549414,0.049609274
